city,country,climate,longitude,latitude,temperature_celsius,date,date_str,timestamp
Dammam,Saudi Arabia,Hot Desert - Coastal,49.880092278140324,26.249009009009008,32.25000000000006,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.89012303752043,26.249009009009008,32.75000000000006,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.90015379690054,26.249009009009008,33.110000000000014,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.91018455628065,26.249009009009008,32.99000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.920215315660755,26.249009009009008,33.05000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.93024607504086,26.249009009009008,33.210000000000036,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.94027683442097,26.249009009009008,33.29000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.95030759380108,26.249009009009008,34.43000000000001,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.960338353181186,26.249009009009008,34.85000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.97036911256129,26.249009009009008,34.910000000000025,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.9803998719414,26.249009009009008,33.47000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,49.99043063132151,26.249009009009008,33.51000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.000461390701616,26.249009009009008,33.97000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.010492150081724,26.249009009009008,33.97000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.02052290946183,26.249009009009008,34.07000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.03055366884194,26.249009009009008,34.29000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.04058442822205,26.249009009009008,34.29000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.050615187602155,26.249009009009008,33.59000000000003,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.06064594698226,26.249009009009008,32.83000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.07067670636237,26.249009009009008,32.81,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.08070746574248,26.249009009009008,32.25000000000006,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.090738225122585,26.249009009009008,31.930000000000007,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.10076898450269,26.249009009009008,31.810000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.1107997438828,26.249009009009008,31.77000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.12083050326291,26.249009009009008,31.79000000000002,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.130861262643016,26.249009009009008,32.31,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.140892022023124,26.249009009009008,32.33000000000004,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.15092278140323,26.249009009009008,32.63000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.16095354078334,26.249009009009008,33.13000000000005,2025-10-29,2025-10-29,1761696000000
Dammam,Saudi Arabia,Hot Desert - Coastal,50.17098430016345,26.249009009009008,33.13000000000005,2025-10-29,2025-10-29,1761696000000
